title,author,pub,date,price,grade
"Mastering NFT: Create, Sell and Invest in Non-Fungible Tokens and Digital Art",,,,"25,810",
"Introduction To NFT: How To Invest, Sell or Trade Your Digital Assets In No Time",,,,"18,340",
Beginners' Guide to NFT: Understanding and Investing in Non-fungible Tokens and Cryptographic Art: A Comprehensive Guide,,,,"296,910",
NFT and DEFI,,,,"51,800",
NFT and DEFI,,,,"38,850",
NFT for beginners,,,,"21,030",
NFT Revolution,,,,"76,090",
NFT Revolution,,,,"63,140",
Nft: How to Buy and Invest: Success Stories. Nft & Real Estate Disruptive Projects.,,,,"38,670",
"Cryptocurrency Investing: Earn at Least 2K per Month by Investing in Crypto Currencies, Get the Most Out of Trading, NFT, and DeFi",,,,"58,040",
"Nft and Blockchain: How to Create, Buy and Sell A Non-Fungible Token",,,,"38,670",
Non Fungible Token (NFT),,,,"19,350",
Nft Top Marketplaces: How to Buy and Invest: Success Stories. Nft & Real Estate Disruptive Projects.,,,,"51,590",
"Bitcoin & Cryptocurrency Investing: Top 10 DeFi Altcoins to Change the World and Your Finances, Blockchain, Cold Storage, NFT & Mining Explained, Smar",,,,"25,810",
"Nft and Blockchain: How to Create, Buy and Sell A Non-Fungible Token",,,,"51,590",
"Cryptocurrency Investing: Earn at Least 2K per Month by Investing in Crypto Currencies, Get the Most Out of Trading, NFT, and DeFi",,,,"45,130",
NFT 입문 가이드북,이은혜 외 5명,로드윌,2022년 04월,"10,000",
NFT - Einkommen fur kreative Koepfe,,,,"46,140",
"Metaverse Investing: The Complete Step-by-Step Guide on How to Invest in NFT, Virtual Land, Digital Assests and Metaverse Cryptocurrency th",,,,"29,630",
메타버스 NFT 실전 교과서,"이종선,윤성임,이수안,최태선,김선영",미디어북,2022년 04월,"18,000",
Equation for Nft: Profit in the Nft Space,,,,"269,850",
NFT Investing Guide: Discover Crypto Art and Collectibles as Crypto,,,,"296,970",
What Are NFTs and Why Should You Care?: The NFT Beginner's Guide is a great place to start,,,,"206,570",
Beginners' Guide to NFT: Learn how to sell trade and how to make a profit,,,,"296,970",
Beginners' Guide to NFT: Non-fungible Tokens and Crypto Art,,,,"322,800",
The Ultimate NFT Advanced Guide: A Simple Guide to Understanding Crypto NFT,,,,"245,310",
NFT for Beginners: An Introduction to Non-fungible Tokens and Crypto,,,,"309,890",
"Nft for Beginners: A Step-by-Step Guide to Creating, Selling, and Investing",,,,"296,970",
"Handbook for the Nft: To Start Making Money Right Now, Learn How to Make, Buy, and Sell Non-Fungible Tokens.",,,,"284,060",
The NFT Investing: The Complete Beginner's Guide,,,,"296,970",
NFT Basics: The Complete Step-by-Step Guide to Non-Fungible Tokens,,,,"309,890",
8 Steps to Becoming an Entrepreneur for Kids NFT EDITION,,,,"38,720",
"Beginner's Guide to NFT 2022: What are Non-Fungible Tokens (NFTs) and how can I make them, purchase them, and avoid scams?",,,,"296,970",
Nft for Beginners: Non-Fungible Tokens Step-By-Step Guide and Nfts Money-Maker Guide,,,,"296,970",
Handbook for the Nft: The Definitive guide to investing in non fungible tokens,,,,"232,400",
"The NFT Investing Handbook: The Ultimate Beginner's Guide to Selling, Buying, and Investing in NFTs",,,,"296,970",
The Ultimate Advanced Guide for NFT: A Simple Guide to Crypto NFT,,,,"296,970",
Nft for Beginners: To get started with Metaverse Investing,,,,"296,970",
NFT Investing Guide: Discover Crypto Art and Collectibles,,,,"296,970",
Handbook of the NFT: The Last Simple Nfts Investing Guide,,,,"309,890",
"Handbook of the NFT: The Complete Guide on Creating, Selling, and Buying Non-Fungible Tokens in 2022, with Every Secret Revealed",,,,"258,230",
"Nft: La Guida completa per comprendere, creare, investire e vendere token non fungibili nella Blockchain",,,,"28,390",
